rank,player,position,inches,weight,forty,city,state,state2,state3,high school,college,player_url,class,teamid,Unnamed: 15,percent rank
2, Justyn Ross   (DS#2 WR/Overall: #9999), WR,75,205.0,4.40 - 4.59,Phenix City,AL,,,Central,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1027959&DraftYear=2022,2022,1,,0.9911894273127754
6, Derion Kendrick   (DS#6 CB/Overall: #9999), CB,72,190.0,4.42 - 4.60,Rock Hill,SC,,,South Pointe,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1027960&DraftYear=2022,2022,1,,0.9647058823529412
6, B.T. Potter   (DS#6 K/Overall: #9999), K,70,180.0,4.82 - 5.04,Rock Hill,SC,,,South Pointe,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1027966&DraftYear=2022,2022,1,,0.8333333333333334
6, Will Spiers   (DS#6 P/Overall: #9999), P,76,225.0,5.10 - 5.34,Cameron,SC,,,Calhoun Academy,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1026083&DraftYear=2022,2022,1,,0.8723404255319149
7, Lyn-J Dixon   (DS#7 RB/Overall: #9999), RB,69,195.0,4.32 - 4.49,Butler,GA,,,Taylor County,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1027742&DraftYear=2022,2022,1,,0.9326923076923077
12, Jack Maddox   (DS#12 LS/Overall: #9999), LS,74,235.0,4.90 - 5.10,Acton,MA,,,Acton-Boxborough Regional,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1051640&DraftYear=2022,2022,1,,0.5555555555555556
13, Nolan Turner   (DS#13 SS/Overall: #9999), SS,73,205.0,4.52 - 4.70,Vestavia Hills,AL,,,Vestavia Hills,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1018810&DraftYear=2022,2022,1,,0.8828828828828829
13, Justin Foster   (DS#13 DE/Overall: #9999), DE,74,275.0,4.67 - 4.86,Shelby,NC,,,Crest,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1021793&DraftYear=2022,2022,1,,0.8925619834710744
14, James Skalski   (DS#14 ILB/Overall: #9999), ILB,72,240.0,4.72 - 4.90,Sharpsburg,GA,,,Northgate,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1018612&DraftYear=2022,2022,1,,0.8861788617886179
22, Matt Bockhorst   (DS#22 OG/Overall: #9999), OG,75,315.0,5.14 - 5.35,Cincinnati,OH,,,St. Xavier,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1021864&DraftYear=2022,2022,1,,0.8757396449704142
34, Baylon Spector   (DS#34 OLB/Overall: #9999), OLB,72,230.0,4.72 - 4.88,Calhoun,GA,,,Calhoun,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1022130&DraftYear=2022,2022,1,,0.7655172413793103
71, Mario Goodrich   (DS#71 CB/Overall: #9999), CB,72,190.0,4.40 - 4.59,Kansas City,MO,,,Lees Summit West,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1027964&DraftYear=2022,2022,1,,0.5882352941176471
92, Regan Upshaw   (DS#92 OLB/Overall: #9999), OLB,71,240.0,4.75 - 4.94,Bradenton,FL,,,Alonso,Clemson,https://draftscout.com/dsprofile.php?PlayerId=1052638&DraftYear=2022,2022,1,,0.3655172413793103
10, Jack Wohlabaugh   (DS#10 C/Overall: #9999), C,75,305.0,5.08 - 5.30,Akron,OH,,,Walsh Jesuit,Duke,https://draftscout.com/dsprofile.php?PlayerId=1018960&DraftYear=2022,2022,2,,0.868421052631579
17, John Taylor   (DS#17 LS/Overall: #9999), LS,74,210.0,5.10 - 5.29,Snellville,GA,,,Grayson,Duke,https://draftscout.com/dsprofile.php?PlayerId=1046025&DraftYear=2022,2022,2,,0.40740740740740744
26, Rakavius Chambers   (DS#26 OG/Overall: #9999), OG,75,335.0,5.27 - 5.48,Opelika,AL,,,Opelika,Duke,https://draftscout.com/dsprofile.php?PlayerId=1023594&DraftYear=2022,2022,2,,0.8520710059171598
55, Jake Marwede   (DS#55 TE/Overall: #9999), TE,78,245.0,4.75 - 4.93,Wilmette,IL,,,Loyola Academy,Duke,https://draftscout.com/dsprofile.php?PlayerId=1023591&DraftYear=2022,2022,2,,0.4022988505747126
60, Mataeo Durant   (DS#60 RB/Overall: #9999), RB,73,195.0,4.42 - 4.60,McCormick,SC,,,McCormick,Duke,https://draftscout.com/dsprofile.php?PlayerId=1045988&DraftYear=2022,2022,2,,0.4326923076923077
96, Brandon Hill   (DS#96 OLB/Overall: #9999), OLB,74,225.0,4.63 - 4.82,Orangeburg,SC,,,Heathwood Hall Episcopal,Duke,https://draftscout.com/dsprofile.php?PlayerId=1023606&DraftYear=2022,2022,2,,0.33793103448275863
106, Ben Frye   (DS#106 DE/Overall: #9999), DE,75,255.0,4.84 - 5.05,Dublin,OH,,,Dublin Coffman,Duke,https://draftscout.com/dsprofile.php?PlayerId=1046003&DraftYear=2022,2022,2,,0.1322314049586777
120, Leonard Johnson   (DS#120 CB/Overall: #9999), CB,72,190.0,4.43 - 4.62,Hayden,AL,,,Hayden,Duke,https://draftscout.com/dsprofile.php?PlayerId=1023096&DraftYear=2022,2022,2,,0.30000000000000004
131, Brian Foley   (DS#131 OG/Overall: #9999), OG,75,314.0,5.23 - 5.45,Clarendon Hills,IL,,,Hinsdale Central,Duke,https://draftscout.com/dsprofile.php?PlayerId=1024474&DraftYear=2022,2022,2,,0.23076923076923073
8, Grant Glennon   (DS#8 LS/Overall: #9999), LS,74,233.0,4.78 - 4.98,Tallahassee,FL,,,Lincoln,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1023406&DraftYear=2022,2022,3,,0.7037037037037037
16, Camren McDonald   (DS#16 TE/Overall: #9999), TE,76,238.0,4.54 - 4.73,Long Beach,CA,,,Long Beach Poly,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1023365&DraftYear=2022,2022,3,,0.8390804597701149
22, Jermaine Johnson   (DS#22 OLB/Overall: #9999), OLB,76,240.0,4.56 - 4.78,Eden Prairie,MN,,,Eden Prairie,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1029605&DraftYear=2022,2022,3,,0.8482758620689655
37, Brandon Moore   (DS#37 CB/Overall: #9999), CB,71,186.0,4.42 - 4.58,Sanford,FL,,,Seminole,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1027769&DraftYear=2022,2022,3,,0.788235294117647
44, Baveon Johnson   (DS#44 OG/Overall: #9999), OG,74,307.0,5.24 - 5.47,Lakeland,FL,,,Lake Gibson,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1023373&DraftYear=2022,2022,3,,0.7455621301775148
44, Robert Cooper   (DS#44 DT/Overall: #9999), DT,74,332.0,5.43 - 5.65,Lilburn,GA,,,South Gwinnett,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1023391&DraftYear=2022,2022,3,,0.5887850467289719
51, Emmett Rice   (DS#51 OLB/Overall: #9999), OLB,74,222.0,4.62 - 4.80,Miami Gardens,FL,,,Norland,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1018502&DraftYear=2022,2022,3,,0.6482758620689655
52, Andrew Parchment   (DS#52 WR/Overall: #9999), WR,73,175.0,4.34 - 4.52,Fort Lauderdale,FL,,,Cypress Bay,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1018371&DraftYear=2022,2022,3,,0.7797356828193833
73, Keir Thomas   (DS#73 DT/Overall: #9999), DT,74,275.0,4.84 - 5.04,Miami,FL,,,Miami Central,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1018761&DraftYear=2022,2022,3,,0.31775700934579443
94, Meiko Dotson   (DS#94 CB/Overall: #9999), CB,70,195.0,4.46 - 4.68,Daytona Beach,FL,,,Mainland,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1007981&DraftYear=2022,2022,3,,0.4529411764705882
108, DeCalon Brooks   (DS#108 OLB/Overall: #9999), OLB,70,210.0,4.57 - 4.76,Tampa,FL,,,Gaither,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1022725&DraftYear=2022,2022,3,,0.2551724137931034
151, Ontaria Wilson   (DS#151 WR/Overall: #9999), WR,72,174.0,4.42 - 4.62,Ashburn,GA,,,Turner County,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1023368&DraftYear=2022,2022,3,,0.3480176211453745
181, Keyshawn Helton   (DS#181 WR/Overall: #9999), WR,69,171.0,4.37 - 4.57,Pensacola,FL,,,West Florida,Florida State,https://draftscout.com/dsprofile.php?PlayerId=1023363&DraftYear=2022,2022,3,,0.2202643171806168
11, Brent Cimaglia   (DS#11 K/Overall: #9999), K,72,210.0,5.10 - 5.34,Nashville,TN,,,Fred J. Page,Georgia Tech,https://draftscout.com/dsprofile.php?PlayerId=1023009&DraftYear=2022,2022,4,,0.6944444444444444
14, Tre Swilling   (DS#14 CB/Overall: #9999), CB,72,205.0,4.44 - 4.64,New Orleans,FL,,,Brother Martin,Georgia Tech,https://draftscout.com/dsprofile.php?PlayerId=1023753&DraftYear=2022,2022,4,,0.9176470588235294
